Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
1099,itel,itel it5027 Slim,nan,5,128,8,,,,,,2.4
11999,POCO,POCO M7 Plus,Chrome Silver,4.4,,,6.72,,,,,
1935,Nokia,Nokia 130 Music,nan,3.8,,,,,,,,130
10449,IQOO,IQOO Z10 Lite,Titanium Blue,4.5,,,,6500,,,,
20980,IQOO,IQOO Z10R 5G,Aquamarine,4.4,,,,,,,,
17999,realme,realme P4 5G,Steel Grey,4.3,,,,,,,,
17999,realme,realme P4 5G,Forge Red,4.4,128,8,,,,,,
20999,realme,realme P4 5G,Steel Grey,4.3,,,6.7,,,,,
22778,IQOO,IQOO Z10R 5G,Moonstone,4,,,,,,,,
17999,realme,realme P4 5G,Engine Blue,4.2,,,,6720,,,,
9262,Samsung,Samsung M06 5G,Blazing Black,4.5,,,,,,,,
8758,Samsung,Samsung Galaxy A06,Light Gray,4.4,,,,,,,,
14150,Samsung,Samsung Galaxy A16,Gold,4.3,128,4,,,,,,
25999,realme,realme P3 Ultra,Orion Red,4.4,,,6.67,,,,,
35965,IQOO,IQOO Neo 10,Inferno Red,4.4,,,,,,,,10
21499,vivo,vivo T4R 5G,Twilight Blue,4.2,,,,6000,,,,
1298,LAVA,LAVA A2 Smart,nan,4.3,,,,,,,,
1299,MOTOROLA,MOTOROLA Moto A200,nan,4.4,256,8,,,,,,
8877,REDMI,REDMI A4 5G,Starry Black,4.4,,,6.67,,,,,
21499,vivo,vivo T4R 5G,Twilight Blue,4.6,,,,,,,,
8699,realme,realme C71,Obsidian Black,4.5,,,,5500,,,,
8999,Ai+,Ai+ Nova 5G,Black,4.5,,,,,,,,
35678,IQOO,IQOO Neo 10,Titanium Chrome,4.3,,,,,,,,10
23499,vivo,vivo T4R 5G,Twilight Blue,4.4,,,,,,,,
2469,Nokia,Nokia 106 4G,nan,4.4,128,6,,,,,,106
119900,Apple,Apple iPhone 16,Desert Titanium,4.5,,,6.67,,,,,16
9569,REDMI,REDMI 14C 5G,Stardust Purple,5,,,,,,,,
26660,OnePlus,OnePlus Nord CE5,Nexus Blue,5,,,,5110,,,,
25999,realme,realme P3 Ultra,Lunar White,4.2,,,,,,,,
