Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
38324,HP,HP Laptop Intel,,4.3,,,,,,,,
129990,ASUS,ASUS ROG Zephyrus,,5,,,,,,,,9
122990,Lenovo,Lenovo Legion 5,,1,,,15.6,,,,,5
43599,DELL,DELL Inspiron Intel,,4.2,,,,,,,,
99490,DELL,DELL Intel Core,,5,,,,,,,,7
19990,CHUWI,CHUWI Intel Core,Grey Laptop,5,,4,,,,"Cutting-edge Intel i3 12th Gen processor, LPDDR4 12GB RAM, 512GB SSD Storage",,
78490,DELL,DELL 14 Plus,,4,,,,,,,,14
52990,Samsung,Samsung Galaxy Book,,5,,,,,,,,4
71999,ASUS,ASUS Vivobook Pro,,5,,,,,,,,15
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.1,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,4.4,,,,,,,,
33900,Lenovo,Lenovo IdeaPad Slim,,4.5,,,,,,,,3
45990,HP,HP 15s AMD,,3.7,,,,,,,,5
110490,MOTOROLA,MOTOROLA Motobook 60,,4.5,,,,,,(12th Gen),,60
40226,Lenovo,Lenovo Intel Core,IN Laptop,4.3,,,,,,,,
42990,Lenovo,Lenovo IdeaPad Slim,,4.2,,,,,,,,3
44965,ASUS,ASUS Vivobook Go,,4,,,,,,,,15
45999,ASUS,"ASUS Vivobook 15,",,4.3,,,13.5,,,,,15
36100,Lenovo,Lenovo V 15,,4.3,,,,,,,,15
44490,Lenovo,Lenovo IdeaPad 1,,4.4,,,,,,,,1
37990,DELL,DELL Latitude 3540,,4.2,,,,,,(13th Gen),,3540
